name,score,genres,episodes,studios,duration,rank,popularity,favorites,scored_by,members
Mini Hama: Minimum Hamatora Movies,6.01,"Comedy, Mystery",2,Lerche,5 min per ep,9862,10377,2,753,3135
Neko nanka Yondemo Konai.,6.01,Slice of Life,12,,1 min per ep,9866,11616,3,723,2181
Doushitemo Eto ni Hairitai,6.01,Comedy,13,Pollyanna Graphics,6 min per ep,9898,15962,2,130,628
Show By Rock!!: Legend of Shingan Crimsonz,6.01,Comedy,3,,1 min per ep,9872,11079,1,677,2553
Inferno Cop Specials,6.01,"Action, Comedy",3,Trigger,2 min per ep,9906,8768,3,1793,5246
TV Yarou Nanaana: Kaibutsu Kraken wo Oe!,6.01,"Adventure, Comedy",24,Studio Crocodile,3 min per ep,9883,12913,2,407,1443
Watanuki-san Chi to,6.01,Slice of Life,12,,23 min per ep,9886,12322,5,155,1737
Gravity (2019),6.01,Avant Garde,1,,4 min,,17736,0,237,438
Usavich Zero,6.01,Comedy,13,Kanaban Graphics,1 min per ep,9885,11804,0,895,2056
Wang Gu Shenhua Zhi Tian Xuanzhe,6.01,"Action, Sci-Fi",12,Chongzhuo Animation,20 min per ep,9886,12408,4,280,1689
Ore no Sora Keiji-hen,6.01,"Action, Drama",2,APPP,44 min per ep,9867,13745,1,211,1139
Sazae-san: Dawn to Ikka de Hawaii Ryokou,6.01,Comedy,1,Eiken,47 min,9867,16606,1,127,546
Doujouji,6.01,"Award Winning, Supernatural",1,,18 min,9897,11624,3,917,2175
Weiß Survive,6.01,"Comedy, Ecchi",16,Studio Hibari,2 min per ep,9888,4936,7,8854,21954
Magical★Taruruuto-kun Movie,6.01,"Adventure, Comedy, Fantasy, Ecchi",1,Toei Animation,50 min,9857,14734,1,159,878
Apfelland Monogatari,6.01,"Adventure, Drama",1,J.C.Staff,1 hr 27 min,9894,10726,2,1096,2839
Tezuka Osamu no Don Dracula,6.01,"Comedy, Horror, Supernatural",8,Tezuka Productions,24 min per ep,9878,10137,2,1477,3377
Little Nemo Pilot (1987),6.01,Adventure,1,TMS Entertainment,10 min,9856,13718,2,479,1152
Zero Duel Masters,6.01,"Adventure, Comedy, Sports",12,SynergySP,23 min per ep,9891,10725,1,998,2841
Huckleberry no Bouken (Movie),6.01,"Adventure, Drama",1,,1 hr 30 min,9907,16686,0,121,537
Taiheiyou ni Kakeru Niji,6.01,"Drama, Slice of Life",1,Toei Animation,29 min,9875,17587,0,117,450
The Borgman: Last Battle,6.01,"Action, Sci-Fi",1,Ashi Productions,59 min,9879,12484,0,681,1651
Yakumotatsu,6.01,"Adventure, Horror, Supernatural",2,Pierrot,29 min per ep,9890,8863,6,1847,5096
Ajin Senshi,6.01,"Fantasy, Sci-Fi",1,Magic Bus,1 hr 40 min,9892,11666,0,460,2148
Ndaho Kekkon Omedetou!!,6.01,Slice of Life,1,LIDENFILMS,4 min,9865,16930,0,231,510
Chikkun Takkun,6.01,"Comedy, Sci-Fi",23,"Pierrot, Gallop",24 min per ep,9896,14035,0,456,1063
Shining Hearts: Shiawase no Pan Specials,6.01,Fantasy,6,Production I.G,2 min per ep,9869,10866,1,836,2717
Shoujo Nosferatu,6.01,"Avant Garde, Horror",1,,6 min,9871,14147,1,466,1030
Mini Van Large,6.01,Comedy,26,OLM,3 min per ep,9862,14952,0,215,822
Hajimari no Boukensha-tachi: Legend of Crystania,6.01,"Action, Adventure, Fantasy, Supernatural",1,Triangle Staff,1 hr 18 min,9902,8008,9,2656,6533
Kakutou Ryouri Densetsu Bistro Recipe,6.01,"Adventure, Comedy, Fantasy, Gourmet",26,Group TAC,25 min per ep,9854,8500,12,2510,5699
Kouryuu Densetsu Villgust,6.01,"Action, Adventure, Comedy, Fantasy, Romance",2,animate Film,28 min per ep,9855,10747,3,1315,2819
Memory,6.01,"Avant Garde, Comedy, Drama, Mystery",1,,5 min,9860,10101,0,1856,3411
Tobira wo Akete (1995),6.01,"Avant Garde, Fantasy",1,Studio 4°C,10 min,9881,9254,5,2154,4490
Uranomito,6.01,Fantasy,1,,4 min,,17956,0,224,422
Lan Mao,6.01,"Adventure, Comedy",3057,,11 min per ep,9855,14589,0,225,912
Earthian,6.01,"Boys Love, Drama",4,J.C.Staff,35 min per ep,9901,6357,24,3933,11495
Tian Yu,6.01,"Action, Adventure, Fantasy",13,Sparkly Key Animation Studio,19 min per ep,9880,14054,2,230,1057
Dragon Ball: Nihon Ijin Taishou - Saikyou no Ijin wa Dare?,6,Action,1,Toei Animation,10 min,9919,17730,1,159,438
Sea Cat,6,Drama,1,Oh! Production,21 min,9935,19385,0,163,318
Tsuki ni Hoeru feat. Kaho Nakamura,6,,1,Wit Studio,3 min,,20956,0,119,230
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life Mini Anime,6,"Comedy, Fantasy",12,AQUA ARIS,2 min per ep,9926,12171,0,525,1838
Kao ni Denai Kashiwada-san to Kao ni Deru Oota-kun CM,6,Comedy,1,Seven Arcs,30 sec,,17134,0,194,490
Monster Disco,6,Supernatural,1,,3 min,,18570,0,180,376
I Can't Control Myself,6,,1,,3 min,,16052,1,312,615
Zombie-ga Doeeo Beorin Naui Ttal,6,"Comedy, Supernatural",26,,11 min per ep,9949,9412,31,213,4256
Nonnon,6,,1,,3 min,,20069,0,149,279
Bucchigire!,6,Action,12,Geno Studio,24 min per ep,9915,3855,144,10679,37882
Comet,6,,1,,4 min,,15383,3,435,719
Na Bbeun Sang Sa,6,"Suspense, Hentai",1,,1 hr 42 min,,12188,10,344,1825
Tsuma ga Onsen de Circle Nakama no Nikubenki ni Natta no desu ga... Anime Edition,6,Hentai,1,Studio 9 Maiami,23 min,,9056,18,1957,4768
Yariman Fudousan,6,Hentai,2,Studio 9 Maiami,18 min per ep,,9035,6,1821,4804
Anata no Shiranai Kangofu: Seiteki Byoutou 24-ji,6,Hentai,2,T-Rex,28 min per ep,,8288,18,2010,6023
Kyouhaku II (Second): Mou Hitotsu no Ashita The Animation,6,Hentai,3,ORADA COMPANY,30 min per ep,,10382,3,1090,3128
Tales of the Rays,6,Fantasy,2,Wit Studio,1 min per ep,,9064,3,1108,4758
Time Driver: Bokura ga Kaita Mirai,6,,1,"Robot Communications, Imagica Imageworks",23 min,9944,12990,0,244,1407
Dungeon Meshi PVs,6,"Fantasy, Gourmet",2,"Trigger, dwarf",58 sec per ep,,9020,4,1846,4836
Neko Matsuri,6,,1,,2 min,,11589,10,1001,2197
Virtua Fighter: Costomize Clip,6,"Action, Drama",1,Production I.G,32 min,9948,14649,0,203,898
A Viva Non Non,6,Avant Garde,1,PERIMETRON,3 min,,19143,0,180,334
Boku wa Kimi no Namida,6,,1,,4 min,,17639,3,234,445
Turning Mecard W Season 2,6,Adventure,26,,28 min per ep,9945,16191,2,175,596
Dash! Yonkurou: Horizon Gundan vs. Dash Gundan,6,Sports,1,,37 min,9919,15887,0,129,638
Bungaku Shoujo,6,,1,HOTZIPANG,4 min,,14635,2,349,901
September,6,Fantasy,1,,3 min,,20054,0,139,280
Nani mo Shite Agerarenai,6,,1,,4 min,,13004,0,641,1402
Kaigo to Ikiru,6,Drama,1,Animation Lab Japan,3 min,9924,17346,0,183,469
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's Mini Picture Drama,6,Comedy,2,,3 min per ep,9930,12232,0,390,1792
Hakushon Daimaou 2020,6,"Comedy, Fantasy",20,"Nippon Animation, Tatsunoko Production",24 min per ep,9922,13622,0,269,1182
Stray Sheep: Poe no Chicchana Daibouken,6,Comedy,18,Robot Communications,2 min per ep,9941,16808,0,131,522
Anne's Secret Diary,6,"Avant Garde, Drama",3,,4 min per ep,9912,17894,1,156,425
Kuuchuu Gunkan Atlantis,6,Action,1,,18 min,9929,16363,0,181,573
Kiki to Lala no Mamatte Suteki!,6,,1,,27 min,9927,17649,1,127,443
Adachi-ga Hara,6,Sci-Fi,1,Tezuka Productions,30 min,9908,11451,1,1124,2286
Cybot Robocchi,6,"Comedy, Sci-Fi",39,Knack Productions,24 min per ep,9916,15329,0,200,729
11eyes: Momoiro Genmutan,6,"Action, Supernatural, Ecchi",1,Doga Kobo,23 min,9907,3682,20,23759,41527
Bakabon Osomatsu no Karee wo Tazunete Sansenri,6,Comedy,1,Pierrot,44 min,9911,15205,0,174,758
Porong Porong Pororo,6,,52,,5 min per ep,9933,13827,3,456,1115
Manga Aesop Monogatari,6,"Adventure, Fantasy",1,Toei Animation,1 hr 1 min,9931,16320,1,163,579
By Your Side,6,,1,dwarf,5 min,,12687,1,935,1547
Tengai Makyou: Ziria Oboro-hen,6,"Adventure, Fantasy",2,TMS Entertainment,46 min per ep,9942,15873,0,165,640
Sore Ike! Anpanman: Minami no Umi wo Sukue!,6,"Comedy, Fantasy",1,,50 min,9938,16060,0,138,614
Captain Future: Kareinaru Taiyokei Race,6,"Action, Adventure, Sci-Fi",1,,58 min,9914,13784,2,398,1128
Vampiyan Kids: Pilot,6,"Action, Comedy",1,Production I.G,18 min,9947,13295,0,571,1292
Ushigaeru,6,Action,1,,8 min,9946,20026,0,112,281
Choujin Locke: Lord Leon,6,"Action, Sci-Fi",3,Nippon Animation,29 min per ep,9917,11942,1,813,1970
Sekai Meisaku Douwa: Oyayubi Hime,6,Fantasy,1,Toei Animation,1 hr 4 min,9936,12974,1,625,1411
Kinnikuman: Haresugata! Seigi Choujin,6,"Comedy, Sports",1,Toei Animation,1 hr,9929,13146,0,557,1348
gdgd Fairies 2 Episode 0,6,"Comedy, Fantasy",1,,14 min,9921,14404,0,306,956
Sotsugyou: Graduation,6,Drama,2,animate Film,30 min per ep,9940,11362,2,940,2346
Kashi no Ki Mokku,6,"Adventure, Fantasy",52,Tatsunoko Production,24 min per ep,9926,10874,3,1338,2713
Angelique: Twin Collection,6,"Fantasy, Sci-Fi",8,Yumeta Company,17 min per ep,9911,11945,1,583,1968
The iDOLM@STER SideM: Wake Atte Mini! Specials,6,Comedy,3,Zero-G,3 min per ep,9943,15619,1,123,681
Game Center Arashi,6,Comedy,26,Shin-Ei Animation,24 min per ep,9920,13566,3,414,1204
Slowly Rising,6,,1,,3 min,,21255,1,111,212
Shuumatsu no Walküre Mini Anime,6,Comedy,14,AQUA ARIS,2 min per ep,9937,9165,10,799,4628
Sore Ike! Anpanman: Ruby no Negai,6,Comedy,1,,51 min,9939,14858,1,273,842
Hanakappa,6,Comedy,,"Xebec, OLM",10 min,9923,14246,0,171,1002
Tobidase! To the Cosmic!!,6,,1,,3 min,,19944,0,156,286
Ryuusei Sentai Musumet,6,"Adventure, Comedy, Romance, Sci-Fi, Ecchi",13,TNK,22 min per ep,9934,9833,1,1376,3737
Prima Stella,6,Fantasy,1,,4 min,,20379,0,137,262
Darkside Blues,6,"Horror, Mystery, Sci-Fi",1,J.C.Staff,1 hr 23 min,9918,6270,27,4654,11899
Maze☆Bakunetsu Jikuu,6,"Action, Adventure, Comedy, Fantasy",2,J.C.Staff,30 min per ep,9932,9384,4,1690,4286
Boruto: Naruto Next Generations,6,"Action, Adventure, Fantasy",293,Pierrot,23 min per ep,9915,208,7373,456660,894735
Holostars★Survival: Oretachi no Kaitaku Seikatsu,5.99,Comedy,1,Hololive Production,2 min,9975,18743,0,125,361
Shuumatsu Train Doko e Iku? Recap,5.99,Adventure,1,EMT Squared,23 min,9955,12177,0,917,1832
Fire Emblem Heroes - Book V Ending Movie,5.99,Fantasy,1,Anima,3 min,9970,18482,3,159,381
Shuumatsu no Walküre II Mini Anime,5.99,Comedy,18,AQUA ARIS,2 min per ep,9953,14274,1,269,995
Jantama Pong☆ Episode 0,5.99,Comedy,1,Scooter Films,1 min,9975,10381,1,1818,3130
Nozoki Kanojo,5.99,Hentai,4,Nur,25 min per ep,,8332,16,2095,5943
Boku no Yayoi-san 2,5.99,Hentai,2,MB planning,20 min per ep,,8904,9,2131,5035
Oyome-sama Honey Days♥,5.99,Hentai,2,BreakBottle,24 min per ep,,9318,8,1416,4385
Mitsuwano,5.99,Slice of Life,1,Zexcs,28 min,9982,8807,1,2302,5183
Lovely Day: Boku to Kanojo no Nana Nichikan,5.99,Hentai,1,Studio 9 Maiami,18 min,,8591,12,1915,5543
Elf no Futagohime: Willan to Arsura,5.99,"Fantasy, Hentai",1,T-Rex,27 min,,9245,5,1614,4502
Choukou Sennin Haruka,5.99,Hentai,3,Lyrics,27 min per ep,,7769,10,2242,7051
Guomin Laogong Dai Huijia,5.99,"Drama, Romance",12,B.CMAY PICTURES,11 min per ep,9972,4888,78,5155,22483
Ongaku Shoujo (TV),5.99,Slice of Life,12,Studio Deen,23 min per ep,9989,5450,30,5419,17130
Himawari,5.99,,1,,6 min,,17983,0,195,419
Toji no Miko: Kizamishi Issen no Tomoshibi PVs,5.99,"Action, Comedy",2,,45 sec per ep,,10908,2,578,2689
Shinya! Tensai Bakabon,5.99,"Comedy, Slice of Life",12,Pierrot Plus,24 min per ep,9952,9983,3,1215,3546
Monster Strike: Katsubou no Hate no Risoukyou,5.99,"Action, Fantasy",1,"SANZIGEN, XFLAG Pictures, Yokohama Animation Laboratory",15 min,9982,11090,0,786,2545
Balala Xiao Mo Xian: Feiyue Cai Ling Bao 2nd Season,5.99,"Comedy, Fantasy",26,Qianqi Animation,22 min per ep,9964,14562,2,166,918
Sugar Bunnies: Taisetsu na Tomodachi e...,5.99,,1,Asahi Production,8 min,9957,17102,0,112,491
Yume Kakeru Kougen: Kiyosato no Chichi Paul Rusch,5.99,,1,Magic Bus,1 hr 37 min,9961,15737,0,187,660
Boku wa Koko de Ikiteiku,5.99,,1,Echoes,2 min,,18617,0,161,370
Look Plus One Piece Special Movie,5.99,Comedy,1,Toei Animation,1 min,,8428,12,2230,5798
Azur Lane Recap,5.99,"Action, Sci-Fi",1,Bibury Animation Studios,24 min,9962,8231,6,1839,6095
Street Fighter IV: Aftermath,5.99,Action,4,Studio 4°C,4 min per ep,9955,14408,0,324,954
Wangpai Yushi Di 0 Ji,5.99,"Comedy, Fantasy, Supernatural",1,Haoliners Animation League,12 min,9961,13315,1,413,1286
Gunslinger Stratos,5.99,"Action, Sci-Fi",1,,9 min,9971,9147,5,1397,4650
Kumi to Tulip,5.99,Sci-Fi,1,Tezuka Productions,23 min,9979,11607,1,814,2185
Showtime,5.99,,1,PERIMETRON,4 min,,18978,1,189,344
Ninja Hattori-kun Plus Perman: Ninja Kaijuu Jippou tai Miracle Tamago,5.99,"Adventure, Comedy, Sci-Fi",1,Shin-Ei Animation,50 min,9988,15075,0,270,792
Kite,5.99,,1,,2 min,,16893,1,192,513
Nekota no Koto ga Kininatte Shikatanai.,5.99,,1,,1 min,9986,12959,2,392,1420
Mug,5.99,Avant Garde,1,,3 min,,16889,1,253,514
Bakumatsu Rock: Mystery! Onsen Kaijiken ze yo!!,5.99,Mystery,1,Studio Deen,23 min,9963,11188,0,498,2469
Cyborg 009,5.99,"Action, Adventure, Drama, Sci-Fi",1,Toei Animation,1 hr 5 min,9966,9369,2,1727,4314
Sugar Bunnies Fleur,5.99,,26,Asahi Production,11 min per ep,9956,14373,3,144,961
Lovedol: Lovely Idol OVA,5.99,"Comedy, Drama, Ecchi",1,"AIC ASTA, TNK",28 min,9980,11231,0,660,2438
Hello Kitty no Kieta Santa-san no Boushi,5.99,Fantasy,1,,30 min,9973,15942,0,175,628
Urvan,5.99,"Mystery, Sci-Fi",1,Toei Animation,5 min,9959,13627,1,532,1182
Dies Irae: To the Ring Reincarnation,5.99,Action,6,A.C.G.T.,28 min per ep,9967,4726,37,8475,24370
Maou Evelogia ni Mi wo Sasage yo,5.99,"Boys Love, Fantasy, Erotica",9,Studio Hokiboshi,6 min per ep,,5127,203,4437,20037
Twin Bee Paradise,5.99,"Action, Adventure",4,,30 min per ep,9959,13686,3,497,1164
Panda no Daibouken,5.99,Adventure,1,Toei Animation,53 min,9992,14428,0,342,948
K×Drop!!,5.99,"Comedy, Suspense",1,,5 min,9976,13676,0,668,1167
Mr. Pen Pen II,5.99,Comedy,1,,46 min,9987,16462,0,209,563
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu Specials,5.99,"Comedy, Ecchi",5,AIC Classic,4 min per ep,9968,8727,3,2058,5316
QUI,5.99,,1,,4 min,,18135,0,219,408
Kishin Houkou Demonbane,5.99,"Comedy, Drama, Sci-Fi",1,"Group TAC, Viewworks",24 min,9979,6727,13,3989,10110
Etotama: Nyankyaku Banrai - Etotama Pretty Gekijou,5.99,Comedy,1,,2 min,9969,14037,0,194,1063
Mousou Kagaku Series: Wandaba Style,5.99,"Comedy, Sci-Fi",12,TNK,24 min per ep,9985,9347,3,1593,4343
Tsuki (2016),5.99,,1,,4 min,,21086,0,122,222
Drivers License,5.99,,1,,4 min,,19443,0,179,315
Sengoku☆Paradise Kiwami,5.99,"Action, Romance",26,"Milky Cartoon, LMD",3 min per ep,9951,8476,3,1160,5740
Onigiri ni Naritai Cogimyun,5.99,Fantasy,10,,1 min per ep,9990,17460,1,107,458
Kusatta Kyoushi no Houteishiki,5.99,"Boys Love, Comedy",2,J.C.Staff,28 min per ep,9980,8564,10,2249,5590
Seikon no Qwaser II Picture Drama,5.99,Ecchi,4,Hoods Entertainment,3 min per ep,9950,5746,12,4849,14956
Catblue: Dynamite,5.99,"Action, Fantasy",1,,42 min,9965,11475,1,812,2268
Mouryou Senki Madara,5.99,"Adventure, Supernatural",2,"Studio Fantasia, animate Film",58 min per ep,9984,10456,7,1196,3073
Boku wa Kyou mo,5.99,,1,,5 min,,21067,0,118,223
"Kore wa, Watashi no Monogatari.",5.98,Slice of Life,1,,2 min,9997,19350,0,130,320
VSPO! x Vanguard Animation PV,5.98,Action,1,Andraft,1 min,,20512,1,115,255
Gyudon Carnival!,5.98,Comedy,1,,4 min,,19256,0,162,327
Ochibi-san Tanpen Movie,5.98,Slice of Life,2,"Khara, Project Studio Q",42 sec per ep,10007,19899,0,103,289
Kyozou no Carousel,5.98,Supernatural,1,Maxilla,3 min,,18257,0,218,400
Koi wa Elevator,5.98,Romance,1,,1 min,9997,21258,0,104,212
Steel Wonder,5.98,,1,Studio Gohan,3 min,,19764,0,151,296
Kyokou Suiri Mini Anime Season 2,5.98,Comedy,16,AQUA ARIS,1 min per ep,9998,11240,1,518,2436
Machikado Mazoku: 2-choume Mini,5.98,Comedy,25,AQUA ARIS,1 min per ep,10001,12672,1,377,1555
Re:Hello World,5.98,,1,Hololive Production,4 min,,15847,0,327,646
Arikitari Heroes,5.98,"Horror, Mystery, Supernatural",1,,3 min,,20076,0,135,279
LOL: Lots of Laugh,5.98,,1,,3 min,,19846,1,158,291
Ling Yu 6th Season,5.98,Fantasy,12,Foch Film,13 min per ep,10001,12475,1,450,1657
"Seiso de Majime na Kanojo ga, Saikyou Yaricir ni Kanyuu Saretara...? The Animation",5.98,Hentai,1,Office No. 8,25 min,,8853,7,1846,5109
Rasen Sokou no Dystopia,5.98,Hentai,2,PoRO,29 min per ep,,8509,9,1853,5686
Mahoutsukai Jiji,5.98,Fantasy,1,,6 min,10003,12085,1,997,1892
Natural 2: Duo,5.98,Hentai,4,Arms,28 min per ep,,11842,0,642,2032
Inma Youjo,5.98,"Fantasy, Horror, Supernatural, Hentai",5,Horannabi,45 min per ep,,10543,6,840,2991
Canary wa Kago no Naka,5.98,Hentai,2,Studio Jam,27 min per ep,,11018,5,904,2595
Hitozuma Cosplay Kissa,5.98,Hentai,2,Aiko,26 min per ep,,8507,6,2004,5693
Vanquished Queens,5.98,"Action, Adventure, Fantasy, Ecchi",4,"Arms, Hoods Entertainment",24 min per ep,10019,5635,17,4472,15614
Sailor Fuku Shinryou Tsumaka,5.98,Hentai,2,Y.O.U.C,26 min per ep,,9779,3,1162,3796
Guomin Laogong Dai Huijia 3rd Season,5.98,"Drama, Romance",12,Wawayu Animation,12 min per ep,10036,8791,9,1283,5209
Ange Vierge,5.98,"Action, Adventure, Fantasy, Sci-Fi",12,"SILVER LINK., Connect",23 min per ep,10024,3081,88,17020,57313
Gunslinger Stratos The Animation: Kikan/Kaze no Yukue,5.98,"Action, Sci-Fi",1,A-1 Pictures,23 min,10035,10183,2,924,3332
Nissin no Donbei x Kemono Friends,5.98,Comedy,1,,1 min,,10319,3,1215,3184
Caligula,5.98,"Action, Sci-Fi",12,Satelight,23 min per ep,10027,2583,109,27042,78232
Choukadou Girl ⅙,5.98,"Comedy, Romance, Sci-Fi",12,Studio A-CAT,12 min per ep,10028,5228,28,8327,19165
Na mo Nai Mainichi,5.98,Drama,1,,4 min,,19095,0,167,337
Huan Jing Nuo De Lin,5.98,"Action, Fantasy",1,YHKT Entertainment,33 min,10039,17126,1,124,489
Bai Niao,5.98,,1,,13 min,10025,15113,0,250,783
He Wei Dao x Re:Cong Ling Kaishi de Yi Shijie Shenghuo,5.98,Comedy,3,White Fox,2 min per ep,,5814,40,5254,14534
"Papa datte, Shitai",5.98,"Boys Love, Hentai",8,Magic Bus,6 min per ep,,4044,128,15375,34275
Shounen Ashibe: Go! Go! Goma-chan 2,5.98,"Comedy, Slice of Life",32,"Bridge, Husio Studio",9 min per ep,10015,13616,2,380,1186
Hito Toki Kiryu Ashikaga,5.98,Slice of Life,4,Asura Film,1 min per ep,10038,19395,0,114,318
Shuang Yue Zhi Cheng,5.98,Sci-Fi,13,,15 min per ep,10015,14929,0,144,825
Flying Witch Petit Special,5.98,"Fantasy, Slice of Life",1,domerica,2 min,10032,7122,5,2733,8797
Go for 2020,5.98,"Drama, Sports",1,Studio Colorido,4 min,,15230,1,340,753
Kiki to Lala no Aoi Tori,5.98,,1,,58 min,9994,16072,1,146,611
Aki-Sora: Yume no Naka,5.98,Erotica,2,Hoods Entertainment,24 min per ep,,2543,131,46197,80492
Kotobadori (July 2019),5.98,"Avant Garde, Fantasy",1,,4 min,,18938,0,168,347
Maze☆Bakunetsu Jikuu: Tenpen Kyoui no Giant,5.98,"Action, Adventure, Comedy, Fantasy",1,J.C.Staff,42 min,10004,13727,2,166,1147
Gegege no Kitarou (1985 Movie),5.98,"Adventure, Comedy, Fantasy, Horror, Supernatural",1,Toei Animation,24 min,10034,13240,0,359,1317
Sore Ike! Anpanman: Hashire! Wakuwaku Anpanman Grand Prix,5.98,Fantasy,1,TMS Entertainment,20 min,10017,16813,0,165,520
Hokuto no Ken: Legend of Heroes,5.98,Action,1,Toei Animation,6 min,10038,9552,4,1660,4065
Usaru-san,5.98,,4,OLM,2 min per ep,10018,13058,2,769,1377
Xiongmao Monogatari TaoTao,5.98,"Comedy, Fantasy",1,,1 hr 26 min,10022,16647,0,183,541
Kinpatsu no Jeanie,5.98,Drama,13,DAX Production,25 min per ep,9995,13034,0,311,1392
Kaze no Toori Michi,5.98,,1,"Studio Ghibli, Ajia-do",4 min,,9586,2,1644,4017
Shin SOS Dai Tokyo Tankentai,5.98,Adventure,1,Sunrise,41 min,10012,12106,3,645,1881
Saishuu Shiken Kujira Progressive,5.98,"Drama, Romance",1,Zexcs,30 min,10010,10236,1,1265,3272
Kuttsukiboshi,5.98,"Drama, Girls Love, Supernatural, Erotica",2,Primastea,22 min per ep,,3576,124,22168,43836
Shibai Taroka,5.98,"Action, Comedy, Romance",2,Knack Productions,52 min per ep,10011,13273,2,512,1303
Black Jack: Karte NG Extras,5.98,Comedy,1,,8 min,10027,12578,1,506,1596
Soratobu Toshi Keikaku,5.98,Sci-Fi,1,Studio Kajino,5 min,,11637,2,1284,2166
Sengoku Kitan Youtouden,5.98,Action,3,J.C.Staff,42 min per ep,10010,10275,6,1136,3227
Kerokero Keroppi no Daibouken: Fushigi na Mame no Ki,5.98,"Adventure, Comedy",1,,25 min,9992,16922,0,141,510
Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi,5.98,,1,T.P.O,51 min,10013,13881,2,255,1099
Wooser no Sono Higurashi: Ken to Pants to Wooser to,5.98,"Comedy, Fantasy, Slice of Life",1,SANZIGEN,4 min,10021,10145,0,1539,3372
Dallos,5.98,"Action, Sci-Fi",4,Pierrot,30 min per ep,10028,6637,13,3627,10407
Narutaru: Mukuro Naru Hoshi Tama Taru Ko,5.98,"Drama, Horror, Sci-Fi, Suspense",13,Planet,24 min per ep,10006,3852,71,10859,37977
Nanami-chan,5.98,Comedy,12,,5 min per ep,10005,12854,1,582,1464
Akuemon,5.98,"Fantasy, Romance",1,Tezuka Productions,25 min,10023,11922,2,1135,1982
Beelzebuz,5.98,,1,,4 min,,17978,2,191,420
Uchuu no Kishi Tekkaman Blade OVA: Missing Link,5.98,"Action, Sci-Fi",1,Tatsunoko Production,5 min,10017,11261,1,824,2422
Dosukoi Sushi Zumou,5.98,"Comedy, Gourmet, Sports",52,Shirogumi,5 min per ep,10031,15961,1,146,626
Kiss Dum: Omokage,5.98,Sci-Fi,1,Satelight,12 min,9995,13421,0,348,1249
Lesson XX,5.98,"Boys Love, Drama",1,SIDO LIMITED,49 min,10001,6710,11,4218,10146
Haou Taikei Ryuu Knight: Adeu Legend II,5.98,"Action, Adventure, Fantasy",3,Sunrise,30 min per ep,10036,13180,1,502,1335
Piano,5.98,"Drama, Romance, Slice of Life",10,OLM,24 min per ep,10008,6857,12,3560,9645
Happy World!,5.98,"Comedy, Fantasy, Romance, Ecchi",3,Zexcs,26 min per ep,10037,8000,7,2894,6557
Kerokko Demetan,5.98,"Comedy, Fantasy",39,Tatsunoko Production,24 min per ep,9992,12045,4,916,1910
Oh! Super Milk-chan Special,5.98,"Action, Comedy, Sci-Fi",1,Pierrot,21 min,10008,14549,2,226,923
Weiß Survive R,5.98,"Comedy, Ecchi",12,Studio Hibari,2 min per ep,10020,6269,4,5352,11905
Document Taiyou no Kiba Dougram,5.98,"Action, Drama, Sci-Fi",1,Sunrise,1 hr 20 min,10030,13721,2,312,1151
Pokemon Masters EX: 5-shuunen Tokubetsu Eizou wo Koukai!,5.97,"Action, Fantasy",1,Ijigen Tokyo,2 min,,19688,0,132,301
"Botsuraku Yotei no Kizoku dakedo, Hima Datta kara Mahou wo Kiwametemita",5.97,"Adventure, Fantasy",12,"Studio Deen, Marvy Jack",23 min per ep,10044,3514,88,7981,45172
Pokemon Masters EX: 4.5-shuunen wo Kinen Shita Buddies ga Toujou!,5.97,"Action, Fantasy",1,Ijigen Tokyo,1 min,,17489,0,203,457
Santa Tell Me,5.97,,1,Doga Kobo,35 sec,10074,18744,0,173,360
Dreamfaireez,5.97,Fantasy,2,Volca,1 min per ep,10051,20439,0,110,259
Twilight Little Star,5.97,Romance,1,,3 min,,14754,1,447,874
CR Anthem,5.97,,1,,3 min,,20645,0,137,247
Pocket no Naka,5.97,,1,dwarf,5 min,,20229,0,131,271
Yamanai Ame,5.97,,1,,4 min,,16366,0,300,573
Implicity,5.97,Hentai,2,Studio 9 Maiami,21 min per ep,,8659,29,2210,5434
Triangle Blue,5.97,Hentai,2,PoRO,29 min per ep,,7475,26,3044,7722
Shakkin Shimai,5.97,Hentai,2,Blue Cat,33 min per ep,,9162,8,1471,4633
Natural: Another,5.97,Hentai,2,"Arms, Triple X",27 min per ep,,11142,2,842,2497
Elfina: Yoru e to Urareta Oukoku de... The Animation,5.97,"Fantasy, Hentai",3,Himajin Planning,29 min per ep,,9263,5,1563,4474
Makai Kishi Ingrid: Re - Mesu Buta Dorei ni Ochita Makai Kishi,5.97,"Fantasy, Hentai",1,Teatro Nishi Tokyo Studio,15 min,,9389,17,1576,4286
Da Shi Jie,5.97,Suspense,1,Le-joy Animation Studio,1 hr 17 min,10048,14060,0,229,1057
Regalia: The Three Sacred Stars,5.97,"Action, Sci-Fi",13,Actas,24 min per ep,10071,4261,32,8239,30584
"Kemeko Deluxe!: Izumi-chan, Fukenkou yo! (Kari)",5.97,Ecchi,1,HAL Film Maker,1 min,10061,12263,1,433,1772
